#mpa_vJun23_CHOCOPhlAnSGB_202307									
clade_name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
UNCLASSIFIED	0	0	0	0	45.59977	100	0	0	0
d__Bacteria	100	100	100	100	100	0	100	99.85307999	100
d__Bacteria;p__Firmicutes_A	78.37940216	58.87293056	58.75674412	63.324479	23.73813763	0	31.33433313	41.63190416	44.999881
d__Bacteria;p__Bacteroidota	11.33242887	27.61388619	35.48216645	23.01725691	72.49642275	0	67.87854679	31.66511317	49.26558015
d__Bacteria;p__Firmicutes	4.535859546	4.12004794	0.420249958	5.781861735	0	0	0	0.766790077	1.007959798
d__Bacteria;p__Proteobacteria	3.883949612	2.752788624	5.340839466	1.270880381	0	0	0.787120079	24.0484524	0
d__Bacteria;p__Actinobacteriota	1.137119886	4.870447565	0	4.136061241	0	0	0	0.276210028	2.044509591
d__Bacteria;p__Firmicutes_C	0.731239927	1.708989146	0	2.469460741	3.765439623	0	0	1.366620137	2.682069464
d__Bacteria;p__Firmicutes_A;c__Clostridia	78.37940216	58.87293056	58.75674412	63.324479	23.73813763	0	31.33433313	41.63190416	44.999881
d__Bacteria;p__Bacteroidota;c__Bacteroidia	11.33242887	27.61388619	35.48216645	23.01725691	72.49642275	0	67.87854679	31.66511317	49.26558015
d__Bacteria;p__Firmicutes;c__Bacilli	4.535859546	4.12004794	0.420249958	5.781861735	0	0	0	0.766790077	1.007959798
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	3.526419647	1.01938949	5.340839466	0.398020119	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.812079919	3.995258002	0	2.515750755	0	0	0	0.276210028	0.808289838
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.731239927	1.708989146	0	2.469460741	3.765439623	0	0	1.366620137	2.682069464
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.357529964	1.733399133	0	0.872860262	0	0	0.787120079	24.0484524	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	0.325039967	0.875189562	0	1.620310486	0	0	0	0	1.236219753
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	43.17977568	36.42263179	34.28639657	28.60141858	23.73813763	0	23.24616232	21.75923218	16.88197662
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	26.59743734	19.90904005	22.38981776	31.0131593	0	0	8.088170809	16.85480169	27.53202449
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	11.33242887	27.61388619	35.48216645	23.01725691	72.49642275	0	67.87854679	31.66511317	49.26558015
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	7.357789264	1.243899378	0	0.822810247	0	0	0	0.513270051	0.585879883
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	3.277439672	0.487529756	0	2.520020756	0	0	0	0.766790077	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	3.526419647	1.01938949	5.340839466	0.398020119	0	0	0	0	0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	1.141329886	1.107719446	2.080529792	2.370250711	0	0	0	0.120890012	0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.812079919	3.995258002	0	2.515750755	0	0	0	0.276210028	0.808289838
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	1.183249882	1.682919159	0.420249958	0.43369013	0	0	0	0	1.007959798
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	0.659349934	0.890889555	0	2.469460741	3.765439623	0	0	0	1.892969621
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.357529964	0.595369702	0	0.872860262	0	0	0	0.020600002	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	0.325039967	0.875189562	0	1.620310486	0	0	0	0	1.236219753
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	0.10306999	0.150909925	0	0.516840155	0	0	0	2.383710238	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.075169992	0.045979977	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.071889993	0.818099591	0	0	0	0	0	1.366620137	0.789099842
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	43.17977568	36.42263179	34.28639657	28.60141858	23.73813763	0	23.24616232	21.75923218	16.88197662
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	15.64141844	16.18825191	12.49875875	23.28304698	0	0	8.088170809	14.50365145	7.520438496
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	10.63799894	2.916508542	9.519409048	5.93247178	0	0	0	0.80111008	19.40283612
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	10.40931896	21.70066915	31.88225681	12.26059368	72.49642275	0	65.0485665	27.90996279	36.16642277
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508	7.357789264	1.243899378	0	0.822810247	0	0	0	0.513270051	0.585879883
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660	3.277439672	0.487529756	0	2.520020756	0	0	0	0.766790077	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239	3.526419647	1.01938949	5.340839466	0.398020119	0	0	0	0	0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381	1.141329886	1.107719446	2.080529792	2.370250711	0	0	0	0.120890012	0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	0.812079919	3.995258002	0	2.515750755	0	0	0	0.276210028	0.808289838
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae	0.678799932	1.354109323	0.420249958	0.43369013	0	0	0	0	1.007959798
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae	0.659349934	0.890889555	0	2.469460741	3.765439623	0	0	0	1.892969621
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	0.50444995	0.328809836	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932	0.50244995	0.289279855	0	0	0	0	0	0	8.661618268
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.357529964	0.595369702	0	0.872860262	0	0	0	0.020600002	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0.323069968	2.032208984	3.59990964	0.943160283	0	0	0	0.783910078	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.325039967	0.029189985	0	0.794960238	0	0	0	0	0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	0.164279984	0.298919851	0	0.216580065	0	0	0	0	0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae	0.10306999	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	0.153739985	0.505359747	0.371649963	1.581060474	0	0	0	1.550040155	0.608749878
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.075929992	2.842408579	0	8.379562514	0	0	2.829980283	2.573620257	1.535189693
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.075169992	0.045979977	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	0.071889993	0.818099591	0	0	0	0	0	1.366620137	0.789099842
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	0.021659998	0.129679935	0	0	0	0	0	0	2.90234942
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	11.75293882	9.658015171	3.709509629	5.268831581	19.48495805	0	9.151300915	8.356530836	0.068179986
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	12.78023872	13.86368307	10.72521893	13.75350413	0	0	6.726860673	10.26622103	5.745168851
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E	10.41051896	2.45923877	0	3.382201015	0	0	0	0	18.4986663
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	7.852749215	2.492468754	14.07213859	1.975540593	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola	6.757989324	9.465865267	19.71035803	6.503151951	0	0	19.0352119	6.690500669	2.240419552
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269	6.964239304	1.011649494	0	0.525760158	0	0	0	0	0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	10.048129	4.538047731	0.30277997	2.690340807	0	0	0	0.538260054	0.996599801
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-417	2.670479733	0.443489778	0	1.96781059	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A	2.635509736	0.549369725	0	0.09892003	0	0	0	0	0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1	2.548829745	0.615969692	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	3.557709644	8.232275884	12.17189878	5.344881603	0	0	46.0133546	15.61396156	0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter	1.990429801	1.182689409	0	2.058390618	0	0	0	0	0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger	2.270099773	1.270029365	1.773539823	5.296171589	0	0	1.361310136	3.240360324	1.775269645
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381;g__CAG-41	1.141329886	1.107719446	2.080529792	2.370250711	0	0	0	0.120890012	0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	2.134129787	0.430929785	0	1.183170355	0	0	0	1.229130123	4.805709039
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	1.007299899	1.398209301	1.259809874	0.555410167	0	0	0.70148007	1.816570182	0.04805999
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267	0.890909911	0.422289789	2.10421979	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium	0.812079919	3.995258002	0	2.515750755	0	0	0	0.276210028	0.808289838
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A	2.055309794	4.972357514	5.370559463	3.750361125	4.253179575	0	10.57645106	4.9998105	4.743209051
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	0.728529927	1.342349329	1.912949809	2.420990726	0	0	0	0.945600095	0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-303	0.690569931	0.047339976	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus	0.678799932	1.354109323	0.420249958	0.43369013	0	0	0	0	1.007959798
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister	0.659349934	0.890889555	0	2.469460741	3.765439623	0	0	0	1.892969621
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	0.50444995	0.328809836	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides	0.50244995	0.289279855	0	0	0	0	0	0	8.661618268
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum	0.486609951	0.742859629	0.686529931	0.817520245	0	0	0	0.49872005	1.065339787
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A	0.420129958	0.890679555	0	0.230190069	0	0	0	0.714880071	1.227169755
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492	0.393549961	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-628	0.380919962	0	0	0	0	0	0	0.205200021	0
