#mpa_vJun23_CHOCOPhlAnSGB_202307						
clade_name	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
UNCLASSIFIED	6.68476	7.03127	2.58526	0.25489	0.80502	8.85686
k__Bacteria	93.31524036	92.95753725	97.41474224	99.74511413	99.19498321	91.14314314
k__Bacteria|p__Firmicutes	61.61791018	74.63108551	51.12765988	74.02829018	75.45839745	62.88514127
k__Bacteria|p__Bacteroidota	25.03747746	9.974615115	42.01939122	16.6117508	14.82798351	23.14829852
k__Bacteria|p__Actinobacteria	3.942634226	3.622991435	1.79793519	5.948698862	1.559940306	1.956123252
k__Bacteria|p__Bacillota	2.116949543	1.131485234	0.706724472	3.115797977	1.649781202	0.261972736
k__Bacteria|p__Proteobacteria	0.583854796	1.913752024	0.773268482	0.040566338	2.185642421	2.677092858
k__Bacteria|p__Verrucomicrobia	0.016414151	1.644031143	0.85116131	0	0.924080625	0.211816665
k__Bacteria|p__Bacteroidota|c__Bacteroidia	24.52762165	9.594400897	40.34643914	16.1650423	14.17123337	22.93938021
k__Bacteria|p__Firmicutes|c__CFGB1765	4.217652902	0	3.897135212	2.585523027	2.431983242	3.970824203
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3.011152165	0.025045776	0.281781883	4.267315422	0.421717552	0.510556545
k__Bacteria|p__Bacillota|c__Clostridia	2.116949543	1.131485234	0.706724472	3.115797977	1.471984114	0.261972736
k__Bacteria|p__Firmicutes|c__CFGB10312	1.776563541	0	0	0	0.339365877	0
k__Bacteria|p__Firmicutes|c__Negativicutes	1.762510265	4.169489524	3.239381131	1.483509082	1.114902014	1.646382395
k__Bacteria|p__Firmicutes|c__Bacilli	1.315474275	0.353467114	0.641222799	0.03561898	0.003372629	0.144115538
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.885412327	1.764769633	0.836071767	0.765992604	1.089716408	1.445566707
k__Bacteria|p__Firmicutes|c__CFGB14936	0.696962199	0	0	0	1.657796157	0.936805682
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.348653733	0.083021077	0.627243784	0.032995684	0.051065577	1.063057164
k__Bacteria|p__Bacteroidota|c__CFGB1670	0.319772666	0	0	0.446708494	0	0.083787891
k__Bacteria|p__Firmicutes|c__CFGB38642	0.277986101	0	0	0.643545502	0.018083245	0.534809735
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.224880398	1.783075176	0.146024699	0	0.784265296	0.638922548
k__Bacteria|p__Bacteroidota|c__CFGB667	0.130193423	0	0	0	0	0.029758236
k__Bacteria|p__Firmicutes|c__CFGB3062	0.119798106	0	0	0	1.106589474	0.024307876
k__Bacteria|p__Firmicutes|c__CFGB3069	0.118827627	0	0	0	0.201117828	0.0091052
k__Bacteria|p__Firmicutes|c__CFGB75721	0.102796069	0	0	0	0.203746496	0
k__Bacteria|p__Firmicutes|c__CFGB1226	0.071143539	0	0.038547014	0	0.062532517	0.053546597
k__Bacteria|p__Bacteroidota|c__CFGB602	0.059889721	0	0	0	0.018291555	0
