ID	cluster_DMM_4	cluster_DMM_4_lab
3797_006_SG21R2_Pl1F01d	C1	Bacteroides 1
3797_011_SG21R2_Pl1C02d	C1	Bacteroides 1
3797_015_SG21R2_Pl1G02d	C1	Bacteroides 1
3797_028_SG21R2_Pl1D04d	C1	Bacteroides 1
3797_044_SG21R2_Pl1D06d	C1	Bacteroides 1
3797_091_SG21R2_Pl1C12d	C1	Bacteroides 1
3797_096_SG21R2_Pl1H12d	C1	Bacteroides 1
3797_101_SG21R2_Pl2E01d	C1	Bacteroides 1
3797_299_SG21R2_Pl4C02d	C1	Bacteroides 1
3797_386_SG21R2_Pl5B01_concatd	C1	Bacteroides 1
3797_387_SG21R2_Pl5C01d	C1	Bacteroides 1
3797_389_SG21R2_Pl5E01d	C1	Bacteroides 1
3797_390_SG21R2_Pl5F01d	C1	Bacteroides 1
3797_391_SG21R2_Pl5G01d	C1	Bacteroides 1
3797_392_SG21R2_Pl5H01_concatd	C1	Bacteroides 1
3797_393_SG21R2_Pl5A02d	C1	Bacteroides 1
3797_394_SG21R2_Pl5B02d	C1	Bacteroides 1
3797_396_SG21R2_Pl5D02_concatd	C1	Bacteroides 1
3797_397_SG21R2_Pl5E02_concatd	C1	Bacteroides 1
3797_398_SG21R2_Pl5F02_concatd	C1	Bacteroides 1
3797_399_SG21R2_Pl5G02_concatd	C1	Bacteroides 1
3797_400_SG21R2_Pl5H02d	C1	Bacteroides 1
3797_401_SG21R2_Pl5A03d	C1	Bacteroides 1
3797_402_SG21R2_Pl5B03_concatd	C1	Bacteroides 1
3797_403_SG21R2_Pl5C03d	C1	Bacteroides 1
3797_404_SG21R2_Pl5D03d	C1	Bacteroides 1
3797_405_SG21R2_Pl5E03_concatd	C1	Bacteroides 1
3797_406_SG21R2_Pl5F03d	C1	Bacteroides 1
3797_407_SG21R2_Pl5G03d	C1	Bacteroides 1
3797_408_SG21R2_Pl5H03_concatd	C1	Bacteroides 1
3797_409_SG21R2_Pl5A04d	C1	Bacteroides 1
3797_410_SG21R2_Pl5B04d	C1	Bacteroides 1
3797_411_SG21R2_Pl5C04_concatd	C1	Bacteroides 1
3797_412_SG21R2_Pl5D04_concatd	C1	Bacteroides 1
3797_414_SG21R2_Pl5F04d	C1	Bacteroides 1
3797_415_SG21R2_Pl5G04d	C1	Bacteroides 1
3797_416_SG21R2_Pl5H04_concatd	C1	Bacteroides 1
3797_417_SG21R2_Pl5A05d	C1	Bacteroides 1
3797_418_SG21R2_Pl5B05_concatd	C1	Bacteroides 1
3797_419_SG21R2_Pl5C05_concatd	C1	Bacteroides 1
3797_420_SG21R2_Pl5D05d	C1	Bacteroides 1
3797_421_SG21R2_Pl5E05_concatd	C1	Bacteroides 1
3797_422_SG21R2_Pl5F05d	C1	Bacteroides 1
3797_423_SG21R2_Pl5G05_concatd	C1	Bacteroides 1
